,D0,D0,D0,D1,D1,D1,D2,D2,D2,D3,D3,D3,D4,D4,D4,D5,D5,D5,D6,D6,D6
,S0,S1,S2,S0,S1,S2,S0,S1,S2,S0,S1,S2,S0,S1,S2,S0,S1,S2,S0,S1,S2
N0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
N1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
N2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
N3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
N4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
N5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
N6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
N7,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
N8,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
N9,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
N10,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
N11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
